course_title,course_number,instructor,location,time,enrolled,book,course_url
AMS 131 - 01   Intro Prob Theory,21763,"Kottas,A.",TuTh 03:20PM-04:55PM,LEC: Thim Lecture 003,189 of 200 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__131__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3NjMiO30%3D
AMS 131 - 02   Intro Prob Theory,21769,"Prado,R.",TuTh 08:00AM-09:35AM,LEC: Thim Lecture 003,120 of 160 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__131__02,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3NjkiO30%3D
AMS 200 - 01   Research/Teach AMS,22877,"Kottas,A.",M 01:20PM-03:00PM,LEC: Soc Sci 1 149,15 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__200__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI4NzciO30%3D
AMS 203 - 01   Intro Prob Theory,22960,"Garaud,P.",MWF 12:00PM-01:05PM,LEC: J Baskin Engr 156,13 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__203__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NjAiO30%3D
AMS 203 - 50   Intro Prob Theory,22961,"Lee,J.",MWF 12:00PM-01:05PM,LEC: SiliconValleyCtr,0 of 5 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__203__50,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NjEiO30%3D
AMS 204 - 01   Stat Data Analysis,23252,"Lee,J.",TuTh 01:30PM-03:05PM,LEC: N. Sci Annex 103,0 of 35 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__204__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyNTIiO30%3D
AMS 211 - 01   Foundatn App Math,22765,"Prado,R.",TuTh 05:20PM-06:55PM,LEC: J Baskin Engr 165,15 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__211__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NjUiO30%3D
AMS 214 - 01   Applied Dynamic Sys,22748,"Wang,H.",TuTh 09:50AM-11:25AM,LEC: PhysSciences 114,50 of 65 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__214__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NDgiO30%3D
AMS 217 - 01   Intro Fluid Dynamics,22760,"Venturi,D.",TuTh 11:40AM-01:15PM,LEC: Soc Sci 1 110,15 of 45 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__217__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NjAiO30%3D
AMS 229 - 01   Convex Optimization,23689,"Brummell,N.H.",TuTh 03:20PM-04:55PM,LEC: Soc Sci 1 145,14 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__229__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM2ODkiO30%3D
AMS 263 - 01   Stochastic Processes,21777,"Halder,A.",TuTh 08:00AM-09:35AM,LEC: J Baskin Engr 169,4 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__263__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3NzciO30%3D
