course_title,course_number,instructor,location,time,enrolled,book,course_url 
BIOL 100 - 01   Biochemistry,21037,"Pogson,G.",MWF 02:40PM-03:45PM,LEC: Media Theater M110,194 of 194 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__100__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwMzciO30%3D
BIOL 101L - 01   Molecular Bio Lab,22929,"Raimondi,P.T.",M 04:00PM-05:05PM,LAB: J Baskin Engr 152,33 of 94 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__101L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5MjkiO30%3D
BIOL 102L - 01   Toxic RNA Lab I,23262,"Shapiro,B.A.",TBA To Be Arranged,LAB: TBA,0 of 17 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__102L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyNjIiO30%3D
BIOL 103L - 01   Toxic RNA Lab II,23920,"Potts,D.C.",TBA To Be Arranged,LAB: TBA,0 of 17 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__103L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM5MjAiO30%3D
BIOL 105 - 01   Genetics,21046,"Sinervo,B.R.",TuTh 08:00AM-09:35AM,LEC: ClassroomUnit 002,216 of 216 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__105__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwNDYiO30%3D
BIOL 109L - 01   Yeast Molecular Gen,21059,"Williams,T.M.",TuTh 10:00AM-02:00PM,LAB: Thimann Lab 229,20 of 20 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__109L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwNTkiO30%3D
BIOL 110 - 01   Cell Biology,21060,"Sinervo,B.R.",TuTh 03:20PM-04:55PM,LEC: Media Theater M110,255 of 255 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__110__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwNjAiO30%3D
BIOL 115L - 01   Eukaryotc Molec Lab,21067,Staff,MW 09:00AM-01:00PM,LAB: Thimann Lab 215,12 of 16 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__115L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwNjciO30%3D
BIOL 115L - 02   Eukaryotc Molec Lab,21068,"Jurica,M.S.",TuTh 12:00PM-04:00PM,LAB: Thimann Lab 215,6 of 16 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__115L__02,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwNjgiO30%3D
BIOL 125 - 01   Intro to Neurosci,21078,"Tamkun,J.W.",TuTh 05:20PM-06:55PM,LEC: J Baskin Engr 152,140 of 140 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__125__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwNzgiO30%3D
BIOL 130 - 01   Human Physiology,21083,"Lee,J.C.",TuTh 01:30PM-03:05PM,LEC: ClassroomUnit 001,89 of 150 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__130__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwODMiO30%3D
BIOL 130L - 01   Human Physiolgy Lab,21088,"Kellogg,D.",M 10:40AM-11:45AM,LAB: N. Sci Annex 101,75 of 80 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__130L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEwODgiO30%3D
BIOL 186F - 01   Undergrad Rsrch:MCDB,22651,"Arribere,J.A.",Th 01:30PM-03:05PM,LAB: Sinsheimer Lb 123,0 of 105 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__186F__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2NTEiO30%3D
BIOL 186L - 01   Undergrad Rsrch MCD,22652,Staff,Th 01:30PM-03:05PM,LAB: Sinsheimer Lb 123,0 of 105 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__186L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2NTIiO30%3D
BIOL 186R - 01   UG Research: MCD Bio,22985,"Sanford,J.R.",Th 01:30PM-03:05PM,LAB: Sinsheimer Lb 123,0 of 105 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__186R__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5ODUiO30%3D
BIOL 189 - 01   Health Sci Intrnshp,22637,"Sanford,J.R.",TBA To Be Arranged,FLD: TBA,1 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__189__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2MzciO30%3D
BIOL 189W - 01   Human Biology DC,22984,"Kamakaka,R.T.",W 05:20PM-06:55PM,FLD: Thimann Lab 101,3 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__189W__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5ODQiO30%3D
BIOL 191 - 01   ACE Service Learning,22939,"Gurun,G.J.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__191__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5MzkiO30%3D
BIOL 200A - 01   Critical Analysis,21118,"Rexach,M.",TBA To Be Arranged,LEC: TBA,15 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__200A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMTgiO30%3D
BIOL 201 - 01   RNA Processing,21119,Staff,TBA To Be Arranged,SEM: TBA,0 of 20 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__201__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMTkiO30%3D
BIOL 280A - 01   Molec Gene Yeasts,21126,Staff,TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMjYiO30%3D
BIOL 280B - 01   Chromatin Structure,22750,"Ackman,J.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NTAiO30%3D
BIOL 280C - 01   Mammalian Brain Dev,22766,"Gurun,G.J.",TBA To Be Arranged,SEM: TBA,2 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280C__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NjYiO30%3D
BIOL 280D - 01   RNA Processing,21127,"Gurun,G.J.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280D__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMjciO30%3D
BIOL 280E - 01   Meiotic Chrom Dynms,22864,"Zuniga,M.C.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280E__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI4NjQiO30%3D
BIOL 280F - 01   Vert Neural Connect,21128,"Zuniga,M.C.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280F__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMjgiO30%3D
BIOL 280G - 01   Phys Devel Brain,23190,"Zuniga,M.C.",TBA To Be Arranged,SEM: TBA,2 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280G__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxOTAiO30%3D
BIOL 280H - 01   Chromatn/Transcript,21129,Staff,TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMjkiO30%3D
BIOL 280I - 01   EpigeneticGeneSilenc,22755,Staff,TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280I__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NTUiO30%3D
BIOL 280J - 01   Macromoleculr Cmplx,22636,"Honig,S.E.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280J__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2MzYiO30%3D
BIOL 280K - 01   Cell Cycle Research,21130,"Ward,J.",TBA To Be Arranged,SEM: TBA,3 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280K__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMzAiO30%3D
BIOL 280L - 01   Development,21131,"Saxton,W.M.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMzEiO30%3D
BIOL 280M - 01   Post-Trans Control,22944,"Arribere,J.A.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280M__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NDQiO30%3D
BIOL 280N - 01   Noncoding RNA Immune,23191,"Chen,B.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280N__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxOTEiO30%3D
BIOL 280O - 01   Bacterial Pathogen,21133,"Feldheim,D.A.",TBA To Be Arranged,SEM: TBA,0 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280O__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMzMiO30%3D
BIOL 280P - 01   QualityCtrl Gene Exp,23895,"Ares,M.",TBA To Be Arranged,SEM: TBA,0 of 5 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280P__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM4OTUiO30%3D
BIOL 280Q - 01   Oocyte/Embry/Neuron,22767,"Boeger,H.H.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280Q__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NjciO30%3D
BIOL 280R - 01   Gene reg C. elegans,23255,"Chen,B.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280R__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyNTUiO30%3D
BIOL 280S - 01   Chrom/RNA reg,22768,"Zahler,A.M.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280S__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NjgiO30%3D
BIOL 280T - 01   Drosophila Develpmt,21134,"Bhalla,N.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280T__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMzQiO30%3D
BIOL 280U - 01   Drosophila Embryo,21135,"Feldheim,D.A.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280U__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMzUiO30%3D
BIOL 280W - 01   Membrane Proteins,21136,"Ackman,J.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280W__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExMzYiO30%3D
BIOL 280Y - 01   Synaptic Plasticity,22769,"Hartzog,G.A.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280Y__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NjkiO30%3D
BIOL 280Z - 01   ProstaDev&CancerBio,23121,"Kamakaka,R.T.",TBA To Be Arranged,SEM: TBA,0 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__280Z__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxMjEiO30%3D
BIOL 288 - 01   Teaching Assist Train,23256,"Jurica,M.S.",TBA To Be Arranged,LEC: TBA,14 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__288__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyNTYiO30%3D
BIOL 291 - 01   Mol Cell Devel Bio,21150,"Kellogg,D.",M 12:00PM-01:05PM,SEM: N. Sci Annex 101,31 of 80 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__291__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExNTAiO30%3D
BIOL 292 - 01   MCD Seminar,21151,"Hinck,L.",F 12:00PM-01:05PM,SEM: N. Sci Annex 101,31 of 80 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BIOL__292__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExNTEiO30%3D
BME 5 - 01   Intro to Biotech,22810,"Sanford,J.R.",MWF 01:20PM-02:25PM,LEC: Merrill Acad 102,35 of 35 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__005__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI4MTAiO30%3D
BME 18 - 01   Sci Principles Life,23658,"Carpenter,S.",MWF 10:40AM-11:45AM,LEC: Earth&Marine B206,27 of 268 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__018__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM2NTgiO30%3D
BME 80G - 01   Bioethics 21st Cent,21236,"Ottemann,K.M.",MW 05:20PM-06:55PM,LEC: ClassroomUnit 001,66 of 171 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__080G__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjEyMzYiO30%3D
BME 110 - 01   Comp Bio Tools,21154,"Arribere,J.A.",MWF 01:20PM-02:25PM,LAB: PhysSciences 110,75 of 75 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__110__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExNTQiO30%3D
BME 122H - 01   Env Virology,22976,"Saxton,W.M.",TuTh 09:50AM-11:25AM,LAB: PhysSciences 305,26 of 24 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__122H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NzYiO30%3D
BME 129A - 01   Project Des/Imp BME I,23207,"Ward,J.",TuTh 05:20PM-06:55PM,LEC: J Baskin Engr 372,22 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__129A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyMDciO30%3D
BME 130 - 01   Genomes,22660,"Strome,S.",TuTh 01:30PM-03:05PM,LEC: PhysSciences 130,47 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__130__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2NjAiO30%3D
BME 132 - 01   Evol Genomics,23237,"Tamkun,J.W.",TuTh 03:20PM-04:55PM,LEC: Oakes Acad 101,12 of 20 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__132__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyMzciO30%3D
BME 140 - 01   Bioinstrumentation,22838,"Sullivan,W.",TuTh 09:50AM-11:25AM,LEC: Earth&Marine B210,26 of 40 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__140__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI4MzgiO30%3D
BME 185 - 01   Tech Writing Biomol,23771,Staff,MW 05:20PM-06:55PM,LEC: Soc Sci 1 149,12 of 21 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__185__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM3NzEiO30%3D
BME 205 - 01   BioinfoModel/Algorthm,21153,"Zuo,Y.",MWF 02:40PM-03:45PM,LEC: J Baskin Engr 372,27 of 20 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__205__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExNTMiO30%3D
BME 232 - 01   Evol Genomics,23251,"Wang,Z.",TuTh 03:20PM-04:55PM,LEC: Oakes Acad 101,12 of 20 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__232__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyNTEiO30%3D
BME 280B - 01   Bioinform/Bioeng Sem,21157,"Strome,S.",Th 11:40AM-01:15PM,SEM: BiomedSci 200,65 of 57 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__280B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjExNTciO30%3D
BME 281C - 01   Cancer Genomics,22959,"Carpenter,S.",TBA To Be Arranged,SEM: TBA,1 of 2 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__281C__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NTkiO30%3D
BME 281D - 01   Protein Engineering,23122,"Ward,J.",TBA To Be Arranged,SEM: TBA,0 of 1 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__281D__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxMjIiO30%3D
BME 281E - 01   Seminar in Genomics,22962,"Carpenter,S.",TBA To Be Arranged,SEM: TBA,2 of 2 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__281E__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NjIiO30%3D
BME 281H - 01   Sem Compar Genomics,22656,"Ward,J.",TBA To Be Arranged,SEM: TBA,4 of 9 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__281H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2NTYiO30%3D
BME 281N - 01   Transcriptomics,23215,"Rothwell,W.F.",TBA To Be Arranged,LAB: TBA,1 of 1 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__BME__281N__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyMTUiO30%3D
